"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"determine","cognition","shape or influence","8"," give direction to; ""experience often determines ability""; ""mold public opinion"""
"develop","cognition","create by training and teaching","15"," ""The old master is training world-class violinists""; ""we develop the leaders for the future"""
"devote","cognition","dedicate","3"," ""give thought to""; ""give priority to""; ""pay attention to"""
"diagnose","cognition","determine or distinguish the nature of a problem or an illness through a diagnostic analysis","3","determine or distinguish the nature of a problem or an illness through a diagnostic analysis"
"dial","cognition","choose by means of a dial","2"," ""dial a telephone number"""
"dichotomise","cognition","divide into two opposing groups or kinds","1","divide into two opposing groups or kinds"
"dichotomize","cognition","divide into two opposing groups or kinds","1","divide into two opposing groups or kinds"
"dictate","cognition","say out loud for the purpose of recording","3"," ""He dictated a report to his secretary"""
"differentiate","cognition","mark as different","3"," ""We distinguish several kinds of maple"""
"dig","cognition","get the meaning of something","3"," ""Do you comprehend the meaning of this letter?"""
"digest","cognition","arrange and integrate in the mind","3"," ""I cannot digest all this information"""
"din","cognition","instill (into a person) by constant repetition","3"," ""he dinned the lessons into his students"""
"dip_into","cognition","read selectively","1"," read only certain passages from a text"
"direct","cognition","specifically design a product, event, or activity for a certain public","11","specifically design a product, event, or activity for a certain public"
"disapprove","cognition","consider bad or wrong","3","consider bad or wrong"
"disbelieve","cognition","reject as false","2"," refuse to accept"
"discombobulate","cognition","be confusing or perplexing to","1"," cause to be unable to think clearly; ""These questions confuse even the experts""; ""This question completely threw me""; ""This question befuddled even the teacher"""
"discountenance","cognition","show disapproval by discouraging","1"," ""any measure tending to fuse invalids into a class with special privileges should be discountenanced"""
"discover","cognition","get to know or become aware of, usually accidentally","8"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"discredit","cognition","cause to be distrusted or disbelieved","2"," ""The paper discredited the politician with its nasty commentary"""
"discriminate","cognition","recognize or perceive the difference","3","recognize or perceive the difference"
"disesteem","cognition","have little or no respect for","1"," hold in contempt"
"disincline","cognition","make unwilling","1","make unwilling"
"dispose","cognition","make receptive or willing towards an action or attitude or belief","4"," ""Their language inclines us to believe them"""
"disprove","cognition","prove to be false","2"," ""The physicist disproved his colleagues' theories"""
"disregard","cognition","give little or no attention to","3"," ""Disregard the errors"""
"disrespect","cognition","have little or no respect for","1"," hold in contempt"
"dissect","cognition","make a mathematical, chemical, or grammatical analysis of","2"," break down into components or essential features; ""analyze a specimen""; ""analyze a sentence""; ""analyze a chemical compound"""
"dissociate","cognition","regard as unconnected","1"," ""you must dissociate these two events!""; ""decouple our foreign policy from ideology"""
"distinguish","cognition","mark as different","4"," ""We distinguish several kinds of maple"""
"distrust","cognition","regard as untrustworthy","2"," regard with suspicion; have no faith or confidence in"
"divide","cognition","perform a division","7"," ""Can you divide 49 by seven?"""
"do_justice","cognition","show due and full appreciation","2"," ""The diners did the food and wine justice"""
"document","cognition","support or supply with references","3"," ""Can you document your claims?"""
"double-check","cognition","check once more to be absolutely sure","1","check once more to be absolutely sure"
"doubt","cognition","consider unlikely or have doubts about","3"," ""I doubt that she will accept his proposal of marriage"""
"downgrade","cognition","rate lower","2"," lower in value or esteem"
"draw","cognition","make, formulate, or derive in the mind","21"," ""I draw a line here""; ""draw a conclusion""; ""draw parallels""; ""make an estimate""; ""What do you make of his remarks?"""
"draw_a_bead_on","cognition","have an ambitious plan or a lofty goal","1","have an ambitious plan or a lofty goal"
"draw_a_blank","cognition","be unable to remember","1"," ""I'm drawing a blank""; ""You are blocking the name of your first wife!"""
"draw_up","cognition","make up plans or basic details for","5"," ""frame a policy"""
"drill","cognition","train in the military, e.g., in the use of weapons","4","train in the military, e.g., in the use of weapons"
"drill_in","cognition","teach by drills and repetition","1","teach by drills and repetition"
"drink","cognition","be fascinated or spell-bound by","5"," pay close attention to; ""The mother drinks in every word of her son on the stage"""
"drink_in","cognition","be fascinated or spell-bound by","1"," pay close attention to; ""The mother drinks in every word of her son on the stage"""
"drop","cognition","omit (a letter or syllable) in speaking or writing","13"," "" New Englanders drop their post-vocalic r's"""
"drum","cognition","study intensively, as before an exam","3"," ""I had to bone up on my Latin verbs before the final exam"""
"dumbfound","cognition","be a mystery or bewildering to","1"," ""This beats me!""; ""Got me--I don't know the answer!""; ""a vexing problem""; ""This question really stuck me"""
"dwell","cognition","think moodily or anxiously about something","4","think moodily or anxiously about something"
"earmark","cognition","give or assign a resource to a particular person or cause","1"," ""I will earmark this money for your research""; ""She sets aside time for meditation every day"""
"educate","cognition","create by training and teaching","4"," ""The old master is training world-class violinists""; ""we develop the leaders for the future"""
"elect","cognition","choose","3"," ""I elected to have my funds deposited automatically"""
"elicit","cognition","derive by reason","3"," ""elicit a solution"""
"elide","cognition","leave or strike out","1"," ""This vowel is usually elided before a single consonant"""
"eliminate","cognition","dismiss from consideration or a contest","6"," ""John was ruled out as a possible suspect because he had a strong alibi""; ""This possibility can be eliminated from our consideration"""
"elucidate","cognition","make free from confusion or ambiguity","2"," make clear; ""Could you clarify these remarks?""; ""Clear up the question of who is at fault"""
"embrace","cognition","take up the cause, ideology, practice, method, of someone and use it as one's own","4"," ""She embraced Catholicism""; ""They adopted the Jewish faith"""
"empanel","cognition","select from a list","1"," ""empanel prospective jurors"""
"empathise","cognition","be understanding of","1"," ""You don't need to explain--I understand!"""
"empathize","cognition","be understanding of","1"," ""You don't need to explain--I understand!"""
"endure","cognition","put up with something or somebody unpleasant","5"," ""I cannot bear his constant criticism""; ""The new secretary had to endure a lot of unprofessional remarks""; ""he learned to tolerate the heat""; ""She stuck out two years in a miserable marriage"""
"engage","cognition","consume all of one's attention or time","7"," ""Her interest in butterflies absorbs her completely"""
"engineer","cognition","design as an engineer","1"," ""He engineered the water supply project"""
"engross","cognition","devote (oneself) fully to","2"," ""He immersed himself into his studies"""
"engulf","cognition","devote (oneself) fully to","3"," ""He immersed himself into his studies"""
"enlighten","cognition","make free from confusion or ambiguity","1"," make clear; ""Could you clarify these remarks?""; ""Clear up the question of who is at fault"""
"enquire","cognition","have a wish or desire to know something","2"," ""He wondered who had built this beautiful church"""
"ensure","cognition","be careful or certain to do something","3"," make certain of something; ""He verified that the valves were closed""; ""See that the curtains are closed""; ""control the quality of the product"""
"entertain","cognition","take into consideration, have in view","3"," ""He entertained the notion of moving to South America"""
"equate","cognition","consider or describe as similar, equal, or analogous","3"," ""We can compare the Han dynasty to the Romans""; ""You cannot equate success in financial matters with greed"""
"err","cognition","to make a mistake or be incorrect","3","to make a mistake or be incorrect"
"espouse","cognition","take up the cause, ideology, practice, method, of someone and use it as one's own","2"," ""She embraced Catholicism""; ""They adopted the Jewish faith"""
"establish","cognition","establish the validity of something, as by an example, explanation or experiment","9"," ""The experiment demonstrated the instability of the compound""; ""The mathematician showed the validity of the conjecture"""
"esteem","cognition","regard highly","2"," think much of; ""I respect his judgement""; ""We prize his creativity"""
"estimate","cognition","judge tentatively or form an estimate of (quantities or time)","3"," ""I estimate this chicken to weigh three pounds"""
"etymologise","cognition","construct the history of words","1","construct the history of words"
"etymologize","cognition","construct the history of words","1","construct the history of words"
"evaluate","cognition","evaluate or estimate the nature, quality, ability, extent, or significance of","2"," ""I will have the family jewels appraised by a professional""; ""access all the factors when taking a risk"""
"examine","cognition","consider in detail and subject to an analysis in order to discover essential features or meaning","6"," ""analyze a sonnet by Shakespeare""; ""analyze the evidence in a criminal trial""; ""analyze your real motives"""
"except","cognition","prevent from being included or considered or accepted","3"," ""The bad results were excluded from the report""; ""Leave off the top piece"""
"excerpt","cognition","take out of a literary work in order to cite or copy","1","take out of a literary work in order to cite or copy"
"exclude","cognition","prevent from being included or considered or accepted","5"," ""The bad results were excluded from the report""; ""Leave off the top piece"""
"excogitate","cognition","reflect deeply on a subject","1"," ""I mulled over the events of the afternoon""; ""philosophers have speculated on the question of God for thousands of years""; ""The scientist must stop to observe and start to excogitate"""
"exercise","cognition","learn by repetition","5"," ""We drilled French verbs every day""; ""Pianists practice scales"""
"expect","cognition","regard something as probable or likely","4"," ""The meteorologists are expecting rain for tomorrow"""
"experience","cognition","have firsthand knowledge of states, situations, emotions, or sensations","5"," ""I know the feeling!""; ""have you ever known hunger?""; ""I have lived a kind of hell when I was a drug addict""; ""The holocaust survivors have lived a nightmare""; ""I lived through two divorces"""
"explode","cognition","show a violent emotional reaction","5"," ""The boss exploded when he heard of the resignation of the secretary"""
"explode_a_bombshell","cognition","utter or do something surprising","1"," ""Father exploded a bombshell when he forbade us to go to the prom"""
"explore","cognition","inquire into","4"," ""the students had to research the history of the Second World War for their history project""; ""He searched for information on his relatives on the web""; ""Scientists are exploring the nature of consciousness"""
"expose","cognition","abandon by leaving out in the open air","7"," ""The infant was exposed by the teenage mother""; ""After Christmas, many pets get abandoned"""
"externalise","cognition","regard as objective","1","regard as objective"
"externalize","cognition","regard as objective","1","regard as objective"
"extract","cognition","take out of a literary work in order to cite or copy","5","take out of a literary work in order to cite or copy"
"extrapolate","cognition","estimate the value of","4","estimate the value of"
"factor","cognition","resolve into factors","2"," ""a quantum computer can factor the number 15"""
"factor_analyse","cognition","to perform a factor analysis of correlational data","1","to perform a factor analysis of correlational data"
"factor_analyze","cognition","to perform a factor analysis of correlational data","1","to perform a factor analysis of correlational data"
"factor_in","cognition","consider as relevant when making a decision","1"," ""You must factor in the recent developments"""
"factor_out","cognition","consider as relevant when making a decision","1"," ""You must factor in the recent developments"""
"factorise","cognition","resolve (a polynomial) into factors","1","resolve (a polynomial) into factors"
"factorize","cognition","resolve (a polynomial) into factors","1","resolve (a polynomial) into factors"
"fall_in_line","cognition","agree on (a position)","1","agree on (a position)"
"fall_into_place","cognition","become clear or enter one's consciousness or emotions","1"," ""It dawned on him that she had betrayed him""; ""she was penetrated with sorrow"""
"falsify","cognition","prove false","2"," ""Falsify a claim"""
"fasten_on","cognition","adopt","1"," ""take up new ideas"""
"fathom","cognition","come to understand","2","come to understand"
"favor","cognition","consider as the favorite","5"," ""The local team was favored"""
"favour","cognition","consider as the favorite","1"," ""The local team was favored"""
"feel","cognition","come to believe on the basis of emotion, intuitions, or indefinite grounds","12"," ""I feel that he doesn't like me""; ""I find him to be obnoxious""; ""I found the movie rather entertaining"""
"ferret","cognition","search and discover through persistent investigation","1"," ""She ferreted out the truth"""
"ferret_out","cognition","search and discover through persistent investigation","2"," ""She ferreted out the truth"""
"field","cognition","select (a team or individual player) for a game","3"," ""The Buckeyes fielded a young new quarterback for the Rose Bowl"""
"figure","cognition","judge to be probable","6","judge to be probable"
"figure_out","cognition","find the solution to (a problem or question) or understand the meaning of","2"," ""did you solve the problem?""; ""Work out your problems with the boss""; ""this unpleasant situation isn't going to work itself out""; ""did you get it?""; ""Did you get my meaning?""; ""He could not work the math problem"""
"filiate","cognition","fix the paternity of","1"," ""The court filiated the child born out of wedlock"""
"find","cognition","come to believe on the basis of emotion, intuitions, or indefinite grounds","14"," ""I feel that he doesn't like me""; ""I find him to be obnoxious""; ""I found the movie rather entertaining"""
"find_out","cognition","get to know or become aware of, usually accidentally","4"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"flabbergast","cognition","overcome with amazement","1"," ""This boggles the mind!"""
"flip","cognition","react in an excited, delighted, or surprised way","3"," ""he flipped when he heard that he was accepted into Princeton University"""
"flip_out","cognition","react in an excited, delighted, or surprised way","1"," ""he flipped when he heard that he was accepted into Princeton University"""
"flirt_with","cognition","take into consideration, have in view","2"," ""He entertained the notion of moving to South America"""
"float","cognition","allow (currencies) to fluctuate","4"," ""The government floated the ruble for a few months"""
"flummox","cognition","be a mystery or bewildering to","1"," ""This beats me!""; ""Got me--I don't know the answer!""; ""a vexing problem""; ""This question really stuck me"""
"focalise","cognition","bring into focus or alignment","1"," to converge or cause to converge; of ideas or emotions"
"focalize","cognition","bring into focus or alignment","1"," to converge or cause to converge; of ideas or emotions"
"focus","cognition","direct one's attention on something","4"," ""Please focus on your studies and not on your hobbies"""
"follow","cognition","follow, discover, or ascertain the course of development of something","17"," ""We must follow closely the economic development is Cuba"" ; ""trace the student's progress"""
"foot","cognition","add a column of numbers","2","add a column of numbers"
"foot_up","cognition","add a column of numbers","1","add a column of numbers"
"forecast","cognition","judge to be probable","4","judge to be probable"
"foreknow","cognition","realize beforehand","2","realize beforehand"
"foreordain","cognition","foreordain by divine will or decree","1","foreordain by divine will or decree"
"foresee","cognition","realize beforehand","4","realize beforehand"
"forget","cognition","dismiss from the mind","4"," stop remembering; ""I tried to bury these unpleasant memories"""
"format","cognition","determine the arrangement of (data) for storage and display (in computer science)","1","determine the arrangement of (data) for storage and display (in computer science)"
"forsake","cognition","leave someone who needs or counts on you","2"," leave in the lurch; ""The mother deserted her children"""
"found","cognition","use as a basis for","3"," found on; ""base a claim on some observation"""
"fox","cognition","be confusing or perplexing to","1"," cause to be unable to think clearly; ""These questions confuse even the experts""; ""This question completely threw me""; ""This question befuddled even the teacher"""
"fraction","cognition","perform a division","1"," ""Can you divide 49 by seven?"""
"frame","cognition","make up plans or basic details for","6"," ""frame a policy"""
"free-associate","cognition","associate freely","1"," ""Let's associate freely to bring up old memories"""
"frown_on","cognition","look disapprovingly upon","1","look disapprovingly upon"
"frown_upon","cognition","look disapprovingly upon","2","look disapprovingly upon"
"fuddle","cognition","be confusing or perplexing to","1"," cause to be unable to think clearly; ""These questions confuse even the experts""; ""This question completely threw me""; ""This question befuddled even the teacher"""
"gauge","cognition","judge tentatively or form an estimate of (quantities or time)","2"," ""I estimate this chicken to weigh three pounds"""
"get","cognition","grasp with the mind or develop an understanding of","21"," ""did you catch that allusion?""; ""We caught something of his theory in the lecture""; ""don't catch your meaning""; ""did you get it?""; ""She didn't get the joke""; ""I just don't get him"""
"get_a_line","cognition","get to know or become aware of, usually accidentally","1"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"get_across","cognition","become clear or enter one's consciousness or emotions","3"," ""It dawned on him that she had betrayed him""; ""she was penetrated with sorrow"""
"get_hold_of","cognition","affect","2"," ""Fear seized the prisoners""; ""The patient was seized with unbearable pains""; ""He was seized with a dreadful disease"""
"get_it","cognition","understand, usually after some initial difficulty","3"," ""She didn't know what her classmates were plotting but finally caught on"""
"get_one's_lumps","cognition","suffer the results or consequences of one's behavior or actions","1","suffer the results or consequences of one's behavior or actions"
"get_onto","cognition","understand, usually after some initial difficulty","2"," ""She didn't know what her classmates were plotting but finally caught on"""
"get_the_goods","cognition","discover some bad or hidden information about","1"," ""She got the goods on her co-worker after reading his e-mail"""
"get_the_hang","cognition","be or become completely proficient or skilled in","1"," ""She mastered Japanese in less than two years"""
"get_the_picture","cognition","get the meaning of something","2"," ""Do you comprehend the meaning of this letter?"""
"get_through","cognition","become clear or enter one's consciousness or emotions","4"," ""It dawned on him that she had betrayed him""; ""she was penetrated with sorrow"""
"get_up","cognition","study intensively, as before an exam","7"," ""I had to bone up on my Latin verbs before the final exam"""
"get_wind","cognition","get to know or become aware of, usually accidentally","1"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"get_wise","cognition","understand, usually after some initial difficulty","1"," ""She didn't know what her classmates were plotting but finally caught on"""
"get_word","cognition","get to know or become aware of, usually accidentally","2"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"give","cognition","dedicate","28"," ""give thought to""; ""give priority to""; ""pay attention to"""
"give_up","cognition","stop maintaining or insisting on","13"," of ideas or claims; ""He abandoned the thought of asking for her hand in marriage""; ""Both sides have to give up some claims in these negotiations"""
"glamorize","cognition","interpret romantically","1"," ""Don't romanticize this uninteresting and hard work!"""
"glamourise","cognition","interpret romantically","1"," ""Don't romanticize this uninteresting and hard work!"""
"go","cognition","give support (to) or make a choice (of) one out of a group or number","22"," ""I plumped for the losing candidates"""
"go_for","cognition","intend with some possibility of fulfilment","4"," ""I hope to have finished this work by tomorrow evening"""
"go_over","cognition","hold a review (of troops)","5","hold a review (of troops)"
"google","cognition","search the internet (for information) using the Google search engine","1"," ""He googled the woman he had met at the party""; ""My children are googling all day"""
"grab","cognition","capture the attention or imagination of","4"," ""This story will grab you""; ""The movie seized my imagination"""
"grade","cognition","assign a rank or rating to","2"," ""how would you rank these students?""; ""The restaurant is rated highly in the food guide"""
"grasp","cognition","get the meaning of something","3"," ""Do you comprehend the meaning of this letter?"""
"gravel","cognition","be a mystery or bewildering to","1"," ""This beats me!""; ""Got me--I don't know the answer!""; ""a vexing problem""; ""This question really stuck me"""
"greet","cognition","react to in a certain way","5"," ""The President was greeted with catcalls"""
"grind_away","cognition","study intensively, as before an exam","1"," ""I had to bone up on my Latin verbs before the final exam"""
"grok","cognition","get the meaning of something","1"," ""Do you comprehend the meaning of this letter?"""
"ground","cognition","use as a basis for","5"," found on; ""base a claim on some observation"""
"group","cognition","arrange into a group or groups","3"," ""Can you group these shapes together?"""
"guess","cognition","expect, believe, or suppose","5"," ""I imagine she earned a lot of money with her new novel""; ""I thought to find her in a bad state""; ""he didn't think to find her in the kitchen""; ""I guess she is angry at me for standing her up"""
"halve","cognition","divide by two","1"," divide into halves; ""Halve the cake"""
"hammer_in","cognition","teach by drills and repetition","1","teach by drills and repetition"
"hand-pick","cognition","pick personally and very carefully","1"," ""the director hand-picked his new team"""
"have_down","cognition","have (something) mastered","1"," ""She has the names of the fifty states down pat"""
"have_in_mind","cognition","intend to refer to","2"," ""I'm thinking of good food when I talk about France""; ""Yes, I meant you when I complained about people who gossip!"""
"hear","cognition","get to know or become aware of, usually accidentally","5"," ""I learned that she has two grown-up children""; ""I see that you have been promoted"""
"hit_the_books","cognition","learn by reading books","1"," ""He is studying geology in his room""; ""I have an exam next week; I must hit the books now"""
"hold","cognition","keep in mind or convey as a conviction or view","24"," ""take for granted""; ""view as important""; ""hold these truths to be self-evident""; ""I hold him personally responsible"""
"hold_still_for","cognition","tolerate or bear","2"," ""I won't stand for this kind of behavior!"""
"hook_on","cognition","adopt","1"," ""take up new ideas"""
"hope","cognition","intend with some possibility of fulfilment","4"," ""I hope to have finished this work by tomorrow evening"""
"house-train","cognition","train (a pet) to live cleanly in a house","1","train (a pet) to live cleanly in a house"
"housebreak","cognition","train (a pet) to live cleanly in a house","1","train (a pet) to live cleanly in a house"
"hypostatise","cognition","construe as a real existence, of a conceptual entity","1","construe as a real existence, of a conceptual entity"
"hypostatize","cognition","construe as a real existence, of a conceptual entity","1","construe as a real existence, of a conceptual entity"
"hypothecate","cognition","to believe especially on uncertain or tentative grounds","1"," ""Scientists supposed that large dinosaurs lived in swamps"""
"hypothesise","cognition","to believe especially on uncertain or tentative grounds","1"," ""Scientists supposed that large dinosaurs lived in swamps"""
"hypothesize","cognition","to believe especially on uncertain or tentative grounds","2"," ""Scientists supposed that large dinosaurs lived in swamps"""
"idealise","cognition","consider or render as ideal","1"," ""She idealized her husband after his death"""
"idealize","cognition","consider or render as ideal","1"," ""She idealized her husband after his death"""
"identify","cognition","recognize as being","7"," establish the identity of someone or something; ""She identified the man on the 'wanted' poster"""
"ignore","cognition","give little or no attention to","5"," ""Disregard the errors"""
"illuminate","cognition","make free from confusion or ambiguity","3"," make clear; ""Could you clarify these remarks?""; ""Clear up the question of who is at fault"""
"imagine","cognition","expect, believe, or suppose","3"," ""I imagine she earned a lot of money with her new novel""; ""I thought to find her in a bad state""; ""he didn't think to find her in the kitchen""; ""I guess she is angry at me for standing her up"""
"imbibe","cognition","receive into the mind and retain","2"," ""Imbibe ethical principles"""
"immerse","cognition","devote (oneself) fully to","3"," ""He immersed himself into his studies"""
"immortalise","cognition","be or provide a memorial to a person or an event","1"," ""This sculpture commemorates the victims of the concentration camps""; ""We memorialized the Dead"""
"immortalize","cognition","be or provide a memorial to a person or an event","1"," ""This sculpture commemorates the victims of the concentration camps""; ""We memorialized the Dead"""
"impanel","cognition","select from a list","1"," ""empanel prospective jurors"""
"implant","cognition","put firmly in the mind","2"," ""Plant a thought in the students' minds"""
"impress","cognition","produce or try to produce a vivid impression of","5"," ""Mother tried to ingrain respect for our elders in us"""
"impute","cognition","attribute or credit to","2"," ""We attributed this quotation to Shakespeare""; ""People impute great cleverness to cats"""
"incline","cognition","make receptive or willing towards an action or attitude or belief","2"," ""Their language inclines us to believe them"""
"include","cognition","consider as part of something","5"," ""I include you in the list of culprits"""
"inculcate","cognition","teach and impress by frequent repetitions or admonitions","2"," ""inculcate values into the young generation"""
"index","cognition","adjust through indexation","2"," ""The government indexes wages and prices"""
"indispose","cognition","make unwilling","1","make unwilling"
"individualise","cognition","make or mark or treat as individual","1"," ""The sounds were individualized by sharpness and tone"""
"individualize","cognition","make or mark or treat as individual","1"," ""The sounds were individualized by sharpness and tone"""
"indoctrinate","cognition","teach doctrines to","2"," teach uncritically; ""The Moonies indoctrinate their disciples"""
"induce","cognition","reason or establish by induction","5","reason or establish by induction"
"infect","cognition","affect in a contagious way","3"," ""His laughter infects everyone who is in the same room"""
"infer","cognition","reason by deduction","3"," establish by deduction"
"influence","cognition","shape or influence","3"," give direction to; ""experience often determines ability""; ""mold public opinion"""
"infuse","cognition","teach and impress by frequent repetitions or admonitions","1"," ""inculcate values into the young generation"""
"ingest","cognition","take up mentally","3"," ""he absorbed the knowledge or beliefs of his tribe"""
"ingrain","cognition","produce or try to produce a vivid impression of","1"," ""Mother tried to ingrain respect for our elders in us"""
"initialise","cognition","assign an initial value to a computer program","1","assign an initial value to a computer program"
"initialize","cognition","assign an initial value to a computer program","1","assign an initial value to a computer program"
"inquire","cognition","have a wish or desire to know something","3"," ""He wondered who had built this beautiful church"""
"insist","cognition","assert to be true","4"," ""The letter asserts a free society"""
"inspect","cognition","examine carefully for accuracy with the intent of verification","3"," ""audit accounts and tax returns"""
"inspire","cognition","fill with revolutionary ideas","5","fill with revolutionary ideas"
"instill","cognition","produce or try to produce a vivid impression of","1"," ""Mother tried to ingrain respect for our elders in us"""
"insure","cognition","be careful or certain to do something","5"," make certain of something; ""He verified that the valves were closed""; ""See that the curtains are closed""; ""control the quality of the product"""
"integrate","cognition","calculate the integral of","4"," calculate by integration"
"intend","cognition","have in mind as a purpose","4"," ""I mean no harm""; ""I only meant to help you""; ""She didn't think to harm me""; ""We thought to return early that night"""
"interiorise","cognition","incorporate within oneself","1"," make subjective or personal; ""internalize a belief"""
"interiorize","cognition","incorporate within oneself","1"," make subjective or personal; ""internalize a belief"""
"internalise","cognition","incorporate within oneself","1"," make subjective or personal; ""internalize a belief"""
"internalize","cognition","incorporate within oneself","2"," make subjective or personal; ""internalize a belief"""
"interpolate","cognition","estimate the value of","1","estimate the value of"
"interpret","cognition","make sense of","7"," assign a meaning to; ""What message do you see in this letter?""; ""How do you interpret his behavior?"""
"interrelate","cognition","place into a mutual relationship","1"," ""I cannot interrelate these two events"""
"intrigue","cognition","form intrigues (for) in an underhand manner","2","form intrigues (for) in an underhand manner"
"introduce","cognition","put before (a body)","9"," ""introduce legislation"""
"introspect","cognition","reflect on one's own thoughts and feelings","1","reflect on one's own thoughts and feelings"
"intuit","cognition","know or grasp by intuition or feeling","1","know or grasp by intuition or feeling"
"invalidate","cognition","show to be invalid","2","show to be invalid"
"involve","cognition","occupy or engage the interest of","6"," ""His story completely involved me during the entire afternoon"""
"isolate","cognition","separate (experiences) from the emotions relating to them","4","separate (experiences) from the emotions relating to them"
"jilt","cognition","cast aside capriciously or unfeelingly","2"," ""jilt a lover or a bride"""
"jinx","cognition","foredoom to failure","1"," ""This project is jinxed!"""
"judge","cognition","determine the result of (a competition)","5","determine the result of (a competition)"
"jump","cognition","bypass","8"," ""He skipped a row in the text and so the sentence was incomprehensible"""
"keep","cognition","stick to correctly or closely","16"," ""The pianist kept time with the metronome""; ""keep count""; ""I cannot keep track of all my employees"""
"keep_note","cognition","maintain in the forefront of one's awareness","2"," ""He kept note of the location of the soldiers"""
"keep_track","cognition","keep informed of fully aware","1"," ""I keep track of the stock market developments"""
"key","cognition","identify as in botany or biology, for example","2","identify as in botany or biology, for example"
"key_out","cognition","identify as in botany or biology, for example","1","identify as in botany or biology, for example"
"know","cognition","be cognizant or aware of a fact or a specific piece of information","8"," possess knowledge or information about; ""I know that the President lied to the people""; ""I want to know who is winning the game!""; ""I know it's time"""
"know_apart","cognition","recognize or perceive the difference","1","recognize or perceive the difference"
"know_the_score","cognition","be well-informed","2","be well-informed"
"know_what's_going_on","cognition","be well-informed","1","be well-informed"
"know_what's_what","cognition","be well-informed","1","be well-informed"
"label","cognition","distinguish (as a compound or molecule) by introducing a labeled atom","5","distinguish (as a compound or molecule) by introducing a labeled atom"
"larn","cognition","gain knowledge or skills","1"," ""She learned dancing from her sister""; ""I learned Sanskrit""; ""Children acquire language at an amazing rate"""
"latch_on","cognition","adopt","1"," ""take up new ideas"""
"lay_down","cognition","institute, enact, or establish","2"," ""make laws"""
"lay_out","cognition","provide a detailed plan or design","3"," ""She laid out her plans for the new house"""
"lean","cognition","rely on for support","5"," ""We can lean on this man"""
"learn","cognition","gain knowledge or skills","6"," ""She learned dancing from her sister""; ""I learned Sanskrit""; ""Children acquire language at an amazing rate"""
"leave","cognition","go and leave behind, either intentionally or by neglect or forgetfulness","15"," ""She left a mess when she moved out""; ""His good luck finally left him""; ""her husband left her after 20 years of marriage""; ""she wept thinking she had been left behind"""
"leave_off","cognition","prevent from being included or considered or accepted","3"," ""The bad results were excluded from the report""; ""Leave off the top piece"""
"leave_out","cognition","prevent from being included or considered or accepted","3"," ""The bad results were excluded from the report""; ""Leave off the top piece"""
"lick","cognition","find the solution to (a problem or question) or understand the meaning of","4"," ""did you solve the problem?""; ""Work out your problems with the boss""; ""this unpleasant situation isn't going to work itself out""; ""did you get it?""; ""Did you get my meaning?""; ""He could not work the math problem"""
"lie_low","cognition","to try to avoid detection especially by police","2"," ""After we knock off that liquor store we'll have to lay low for a while"""
"like","cognition","feel about or towards","6"," consider, evaluate, or regard; ""How did you like the President's speech last night?"""
"liken","cognition","consider or describe as similar, equal, or analogous","1"," ""We can compare the Han dynasty to the Romans""; ""You cannot equate success in financial matters with greed"""
"link","cognition","make a logical or causal connection","4"," ""I cannot connect these two pieces of evidence in my mind""; ""colligate these facts""; ""I cannot relate these events at all"""
"link_up","cognition","make a logical or causal connection","1"," ""I cannot connect these two pieces of evidence in my mind""; ""colligate these facts""; ""I cannot relate these events at all"""
"lip-read","cognition","interpret by lipreading","1"," of deaf people"
"lipread","cognition","interpret by lipreading","1"," of deaf people"
"literalise","cognition","make literal","1"," ""literalize metaphors"""
"literalize","cognition","make literal","1"," ""literalize metaphors"""
"live","cognition","have firsthand knowledge of states, situations, emotions, or sensations","7"," ""I know the feeling!""; ""have you ever known hunger?""; ""I have lived a kind of hell when I was a drug addict""; ""The holocaust survivors have lived a nightmare""; ""I lived through two divorces"""
"live_over","cognition","experience again, often in the imagination","1"," ""He relived the horrors of war"""
"live_with","cognition","tolerate or accommodate oneself to","1"," ""I shall have to accept these unpleasant working conditions""; ""I swallowed the insult""; ""She has learned to live with her husband's little idiosyncrasies"""
"loft","cognition","lay out a full-scale working drawing of the lines of a vessel's hull","1","lay out a full-scale working drawing of the lines of a vessel's hull"
"look","cognition","look forward to the probable occurrence of","9"," ""We were expecting a visit from our relatives""; ""She is looking to a promotion""; ""he is waiting to be drafted"""
"look_at","cognition","take into consideration for exemplifying purposes","3"," ""Take the case of China""; ""Consider the following case"""
"look_back","cognition","look back upon (a period of time, sequence of events)","3"," remember; ""she reviewed her achievements with pride"""
"look_forward","cognition","expect or hope for","2"," ""I look to hear from you soon"""
"look_into","cognition","examine so as to determine accuracy, quality, or condition","3"," ""check the brakes""; ""Check out the engine"""
"look_on","cognition","look on as or consider","3"," ""she looked on this affair as a joke""; ""He thinks of himself as a brilliant musician""; ""He is reputed to be intelligent"""
"look_to","cognition","turn one's interests or expectations towards","3"," ""look to the future""; ""this method looks to significant wavings"""
