"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"reordering","act","a rearrangement in a different order","1","a rearrangement in a different order"
"reorganisation","act","the imposition of a new organization","1"," organizing differently (often involving extensive and drastic changes); ""a committee was appointed to oversee the reorganization of the curriculum""; ""top officials were forced out in the cabinet shakeup"""
"reorganization","act","the imposition of a new organization","1"," organizing differently (often involving extensive and drastic changes); ""a committee was appointed to oversee the reorganization of the curriculum""; ""top officials were forced out in the cabinet shakeup"""
"reorientation","act","the act of changing the direction in which something is oriented","2","the act of changing the direction in which something is oriented"
"repair","act","the act of putting something in working order again","3","the act of putting something in working order again"
"reparation","act","the act of putting something in working order again","1","the act of putting something in working order again"
"repatriation","act","the act of returning to the country of origin","1","the act of returning to the country of origin"
"repayment","act","the act of returning money received previously","2","the act of returning money received previously"
"repeal","act","the act of abrogating","2"," an official or legal cancellation"
"repeating","act","the act of doing or performing again","1","the act of doing or performing again"
"repetition","act","the act of doing or performing again","4","the act of doing or performing again"
"replacement","act","the act of furnishing an equivalent person or thing in the place of another","5"," ""replacing the star will not be easy"""
"replacing","act","the act of furnishing an equivalent person or thing in the place of another","2"," ""replacing the star will not be easy"""
"replay","act","the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape","1","the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape"
"repletion","act","eating until excessively full","1","eating until excessively full"
"replication","act","the act of making copies","2"," ""Gutenberg's reproduction of holy texts was far more efficient"""
"repose","act","freedom from activity (work or strain or responsibility)","2"," ""took his repose by the swimming pool"""
"repositing","act","depositing in a warehouse","1"," ""they decided to reposition their furniture in a recommended repository in Brooklyn""; ""my car is in storage""; ""publishers reduced print runs to cut down the cost of warehousing"""
"reposition","act","depositing in a warehouse","1"," ""they decided to reposition their furniture in a recommended repository in Brooklyn""; ""my car is in storage""; ""publishers reduced print runs to cut down the cost of warehousing"""
"repositioning","act","the act of placing in a new position","1","the act of placing in a new position"
"repossession","act","the action of regaining possession (especially the seizure of collateral securing a loan that is in default)","1","the action of regaining possession (especially the seizure of collateral securing a loan that is in default)"
"representation","act","the act of representing","4"," standing in for someone or some group and speaking with authority in their behalf"
"representative_sampling","act","the population is divided into subpopulations (strata) and random samples are taken of each stratum","1","the population is divided into subpopulations (strata) and random samples are taken of each stratum"
"repression","act","the act of repressing","2"," control by holding down; ""his goal was the repression of insolence"""
"reprieve","act","the act of reprieving","2"," postponing or remitting punishment"
"reprisal","act","a retaliatory action against an enemy in wartime","2","a retaliatory action against an enemy in wartime"
"reproduction","act","the act of making copies","2"," ""Gutenberg's reproduction of holy texts was far more efficient"""
"reproductive_cloning","act","making a full living copy of an organism","1"," requires a surrogate mother"
"republication","act","the act of publishing again","1","the act of publishing again"
"republishing","act","the act of publishing again","1","the act of publishing again"
"repudiation","act","the exposure of falseness or pretensions","1"," ""the debunking of religion has been too successful"""
"repulsion","act","the act of repulsing or repelling an attack","3"," a successful defensive stand"
"repurchase","act","the act of purchasing back something previously sold","1","the act of purchasing back something previously sold"
"Requiem","act","a Mass celebrated for the dead","1","a Mass celebrated for the dead"
"required_course","act","a course that all students are required to take","1","a course that all students are required to take"
"requisition","act","seizing property that belongs to someone else and holding it until profits pay the demand for which it was seized","2","seizing property that belongs to someone else and holding it until profits pay the demand for which it was seized"
"requital","act","an act of requiting","1"," returning in kind"
"res_gestae","act","things done","1","things done"
"resale","act","the selling of something purchased","1","the selling of something purchased"
"rescission","act","(law) the act of rescinding","1"," the cancellation of a contract and the return of the parties to the positions they would have had if the contract had not been made; ""recission may be brought about by decree or by mutual consent"""
"rescue","act","recovery or preservation from loss or danger","2"," ""work is the deliverance of mankind""; ""a surgeon's job is the saving of lives"""
"rescue_operation","act","an operation organized to free from danger or confinement","1","an operation organized to free from danger or confinement"
"research","act","systematic investigation to establish facts","3","systematic investigation to establish facts"
"research_project","act","research into questions posed by scientific theories and hypotheses","1","research into questions posed by scientific theories and hypotheses"
"resection","act","surgical removal of part of a structure or organ","1","surgical removal of part of a structure or organ"
"reservation","act","the act of reserving (a place or passage) or engaging the services of (a person or group)","5"," ""wondered who had made the booking"""
"resettlement","act","the transportation of people (as a family or colony) to a new settlement (as after an upheaval of some kind)","1","the transportation of people (as a family or colony) to a new settlement (as after an upheaval of some kind)"
"reshipment","act","the act of shipping again (especially by transferring to another ship)","1","the act of shipping again (especially by transferring to another ship)"
"reshuffle","act","a redistribution of something","1"," ""there was a reshuffle of cabinet officers"""
"reshuffling","act","shuffling again","1"," ""the gambler demanded a reshuffle"""
"residence","act","the act of dwelling in a place","5","the act of dwelling in a place"
"residency","act","the act of dwelling in a place","1","the act of dwelling in a place"
"resistance","act","the action of opposing something that you disapprove or disagree with","5"," ""he encountered a general feeling of resistance from many citizens""; ""despite opposition from the newspapers he went ahead"""
"resisting_arrest","act","physical efforts to oppose a lawful arrest","1"," the resistance is classified as assault and battery upon the person of the police officer attempting to make the arrest"
"resolution","act","finding a solution to a problem","7","finding a solution to a problem"
"resort","act","act of turning to for assistance","2"," ""have recourse to the courts""; ""an appeal to his uncle was his last resort"""
"respect","act","a courteous expression (by word or deed) of esteem or regard","6"," ""his deference to her wishes was very flattering""; ""be sure to give my respects to the dean"""
"respiration","act","the metabolic processes whereby certain organisms obtain energy from organic molecules","2"," processes that take place in the cells and tissues during which energy is released and carbon dioxide is produced and absorbed by the blood to be transported to the lungs"
"respite","act","a pause from doing something (as work)","4"," ""we took a 10-minute break""; ""he took time out to recuperate"""
"response","act","a bodily process occurring due to the effect of some antecedent stimulus or agent","6"," ""a bad reaction to the medicine""; ""his responses have slowed with age"""
"responsibility","act","the social force that binds you to the courses of action demanded by that force","4"," ""we must instill a sense of duty in our children""; ""every right implies a responsibility; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
"rest","act","freedom from activity (work or strain or responsibility)","7"," ""took his repose by the swimming pool"""
"rest-cure","act","rest as a medical treatment for stress or anxiety etc.","1","rest as a medical treatment for stress or anxiety etc."
"restitution","act","the act of restoring something to its original state","1","the act of restoring something to its original state"
"restoration","act","the act of restoring something or someone to a satisfactory state","4","the act of restoring something or someone to a satisfactory state"
"restraint","act","the act of controlling by restraining someone or something","3"," ""the unlawful restraint of trade"""
"restraint_of_trade","act","any act that tends to prevent free competition in business","1","any act that tends to prevent free competition in business"
"restriction","act","an act of limiting or restricting (as by regulation)","3","an act of limiting or restricting (as by regulation)"
"resumption","act","beginning again","2","beginning again"
"resurgence","act","bringing again into activity and prominence","1"," ""the revival of trade""; ""a revival of a neglected play by Moliere""; ""the Gothic revival in architecture"""
"resurrection","act","a revival from inactivity and disuse","1"," ""it produced a resurrection of hope"""
"resurvey","act","a new survey or study","1","a new survey or study"
"resuscitation","act","the act of reviving a person and returning them to consciousness","1"," ""although he was apparently drowned, resuscitation was accomplished by artificial respiration"""
"retail","act","the selling of goods to consumers","2"," usually in small quantities and not for resale"
"retailing","act","the activities involved in selling commodities directly to consumers","2","the activities involved in selling commodities directly to consumers"
"retake","act","a shot or scene that is photographed again","1","a shot or scene that is photographed again"
"retaking","act","the act of taking something back","1","the act of taking something back"
"retaliation","act","action taken in return for an injury or offense","2","action taken in return for an injury or offense"
"retaliatory_eviction","act","an eviction in reprisal for the tenant's good-faith complaints against the landlord","1"," illegal in many states"
"retardation","act","the act of slowing down or falling behind","2","the act of slowing down or falling behind"
"retch","act","an involuntary spasm of ineffectual vomiting","1"," ""a bad case of the heaves"""
"retention","act","the act of retaining something","3","the act of retaining something"
"retirement","act","withdrawal from your position or occupation","3","withdrawal from your position or occupation"
"retraction","act","the act of pulling or holding or drawing a part back","1"," ""the retraction of the landing gear""; ""retraction of the foreskin"""
"retraining","act","training for a new occupation","2","training for a new occupation"
"retreat","act","(military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat","2"," ""the disorderly retreat of French troops"""
"retrenchment","act","the reduction of expenditures in order to become financially stable","1","the reduction of expenditures in order to become financially stable"
"retrial","act","a new trial in which issues already litigated and to which the court has already rendered a verdict or decision are reexamined by the same court","1"," occurs when the initial trial is found to have been improper or unfair due to procedural errors"
"retribution","act","the act of correcting for your wrongdoing","3","the act of correcting for your wrongdoing"
"retrieval","act","the act of regaining or saving something lost (or in danger of becoming lost)","1","the act of regaining or saving something lost (or in danger of becoming lost)"
"retrofit","act","the act of adding a component or accessory to something that did not have it when it was manufactured","1"," ""the court ordered a retrofit on all automobiles"""
"retroflection","act","the act of bending backward","1","the act of bending backward"
"retroflexion","act","the act of bending backward","1","the act of bending backward"
"retrogression","act","returning to a former state","1","returning to a former state"
"retroversion","act","returning to a former state","1","returning to a former state"
"return","act","a coming to or returning home","7"," ""on his return from Australia we gave him a welcoming party"""
"reunification","act","the act of coming together again","1"," ""monetary unification precipitated the reunification of the German state in October 1990"""
"reunion","act","the act of coming together again","3"," ""monetary unification precipitated the reunification of the German state in October 1990"""
"reveille","act","a signal to get up in the morning","1"," in the military it is a bugle call at sunrise"
"revel","act","unrestrained merrymaking","2","unrestrained merrymaking"
"revelry","act","unrestrained merrymaking","2","unrestrained merrymaking"
"revenge","act","action taken in return for an injury or offense","2","action taken in return for an injury or offense"
"revenue_sharing","act","distribution of part of the federal tax income to states and municipalities","1","distribution of part of the federal tax income to states and municipalities"
"reverence","act","an act showing respect (especially a bow or curtsy)","1","an act showing respect (especially a bow or curtsy)"
"reversal","act","a change from one state to the opposite state","2"," ""there was a reversal of autonomic function"""
"reverse","act","(American football) a running play in which a back running in one direction hands the ball to a back running in the opposite direction","3","(American football) a running play in which a back running in one direction hands the ball to a back running in the opposite direction"
"reverse_hang","act","a hang with the arms extended in back","1","a hang with the arms extended in back"
"reverse_split","act","a decrease in the number of outstanding shares of a corporation without changing the shareholders' equity","1","a decrease in the number of outstanding shares of a corporation without changing the shareholders' equity"
"reverse_stock_split","act","a decrease in the number of outstanding shares of a corporation without changing the shareholders' equity","1","a decrease in the number of outstanding shares of a corporation without changing the shareholders' equity"
"reversion","act","turning in the opposite direction","1","turning in the opposite direction"
"reverting","act","a failure to maintain a higher state","1","a failure to maintain a higher state"
"review","act","a subsequent examination of a patient for the purpose of monitoring earlier treatment","4","a subsequent examination of a patient for the purpose of monitoring earlier treatment"
"revision","act","the act of revising or altering (involving reconsideration and modification)","4"," ""it would require a drastic revision of his opinion"""
"revitalisation","act","bringing again into activity and prominence","1"," ""the revival of trade""; ""a revival of a neglected play by Moliere""; ""the Gothic revival in architecture"""
"revitalization","act","bringing again into activity and prominence","1"," ""the revival of trade""; ""a revival of a neglected play by Moliere""; ""the Gothic revival in architecture"""
"revival","act","bringing again into activity and prominence","2"," ""the revival of trade""; ""a revival of a neglected play by Moliere""; ""the Gothic revival in architecture"""
"revivification","act","bringing again into activity and prominence","1"," ""the revival of trade""; ""a revival of a neglected play by Moliere""; ""the Gothic revival in architecture"""
"revocation","act","the act (by someone having the authority) of annulling something previously done","1"," ""the revocation of a law"""
"revoke","act","the mistake of not following suit when able to do so","1","the mistake of not following suit when able to do so"
"revolt","act","organized opposition to authority","2"," a conflict in which one faction tries to wrest control from another"
"revolution","act","the overthrow of a government by those who are governed","3","the overthrow of a government by those who are governed"
"reward","act","an act performed to strengthen approved behavior","5","an act performed to strengthen approved behavior"
"rhinoplasty","act","cosmetic surgery to improve the appearance of your nose","1","cosmetic surgery to improve the appearance of your nose"
"rhinoscopy","act","examination of the nasal passages (either through the anterior nares or with a rhinoscope through the nasopharynx)","1","examination of the nasal passages (either through the anterior nares or with a rhinoscope through the nasopharynx)"
"rhinotomy","act","surgical procedure in which an incision is made in the nose to drain accumulated pus","1","surgical procedure in which an incision is made in the nose to drain accumulated pus"
"rhizotomy","act","surgical procedure in which spinal nerve roots are cut","1"," done (anterior roots) to relieve intractable pain or (posterior roots) to stop severe muscle spasms"
"rhumba","act","a folk dance in duple time that originated in Cuba with Spanish and African elements","1"," features complex footwork and violent movement"
"rhythm","act","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)","6","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)"
"rhythm_method","act","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)","2","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)"
"rhythm_method_of_birth_control","act","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)","1","natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle)"
"rhytidectomy","act","plastic surgery to remove wrinkles and other signs of aging from your face","1"," an incision is made near the hair line and skin is pulled back and excess tissue is excised; ""some actresses have more than one face lift"""
"rhytidoplasty","act","plastic surgery to remove wrinkles and other signs of aging from your face","1"," an incision is made near the hair line and skin is pulled back and excess tissue is excised; ""some actresses have more than one face lift"""
"ribbing","act","the act of harassing someone playfully or maliciously (especially by ridicule)","1"," provoking someone with persistent annoyances; ""he ignored their teases""; ""his ribbing was gentle but persistent"""
"riddance","act","the act of removing or getting rid of something","1","the act of removing or getting rid of something"
"ride","act","a journey in a vehicle (usually an automobile)","2"," ""he took the family for a drive in his new car"""
"ridicule","act","the act of deriding or treating with contempt","2","the act of deriding or treating with contempt"
"riding","act","the sport of siting on the back of a horse while controlling its movements","1","the sport of siting on the back of a horse while controlling its movements"
"riffle","act","shuffling by splitting the pack and interweaving the two halves at their corners","1","shuffling by splitting the pack and interweaving the two halves at their corners"
"rifling","act","the cutting of spiral grooves on the inside of the barrel of a firearm","1","the cutting of spiral grooves on the inside of the barrel of a firearm"
"rig","act","the act of swindling by some fraudulent scheme","2"," ""that book is a fraud"""
"rigamarole","act","a long and complicated and confusing procedure","1"," ""all that academic rigmarole was a waste of time"""
"right","act","a turn toward the side of the body that is on the south when the person is facing east","8"," ""take a right at the corner"""
"right_field","act","the fielding position of the player on a baseball team who is expected to field balls in the right third of the outfield (looking from home plate)","1","the fielding position of the player on a baseball team who is expected to field balls in the right third of the outfield (looking from home plate)"
"rightfield","act","the fielding position of the player on a baseball team who is expected to field balls in the right third of the outfield (looking from home plate)","2","the fielding position of the player on a baseball team who is expected to field balls in the right third of the outfield (looking from home plate)"
"rigmarole","act","a long and complicated and confusing procedure","1"," ""all that academic rigmarole was a waste of time"""
"ring-a-rosy","act","a children's game in which the players dance around in a circle and at a given signal all squat","1","a children's game in which the players dance around in a circle and at a given signal all squat"
"ring-around-a-rosy","act","a children's game in which the players dance around in a circle and at a given signal all squat","2","a children's game in which the players dance around in a circle and at a given signal all squat"
"ring-around-the-rosy","act","a children's game in which the players dance around in a circle and at a given signal all squat","1","a children's game in which the players dance around in a circle and at a given signal all squat"
"ring_containment","act","a strategy of defense in cases of bioterrorism","1"," vaccination only of people exposed and others who are in contact with them; ""ring containment is a proven method of halting a smallpox epidemic"""
"ring_dance","act","a folk dance","1"," dancers form a circle"
"ring_vaccination","act","administering vaccine only to people in close contact with an isolated infected patient","1"," prevents the spread of a highly infectious disease by surrounding the patient with a ring of immunization"
"ringer","act","(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg","1","(horseshoes) the successful throw of a horseshoe or quoit so as to encircle a stake or peg"
"rinse","act","the removal of soap with clean water in the final stage of washing","1","the removal of soap with clean water in the final stage of washing"
"rinsing","act","the removal of soap with clean water in the final stage of washing","1","the removal of soap with clean water in the final stage of washing"
"riot","act","a public act of violence by an unruly mob","2","a public act of violence by an unruly mob"
"riot_control","act","the measures taken to control a riot","1","the measures taken to control a riot"
"riot_control_operation","act","the measures taken to control a riot","1","the measures taken to control a riot"
"rip","act","the act of rending or ripping or splitting something","1"," ""he gave the envelope a vigorous rip"""
"rip-off","act","the act of stealing","1","the act of stealing"
"riposte","act","(fencing) a counterattack made immediately after successfully parrying the opponents lunge","1","(fencing) a counterattack made immediately after successfully parrying the opponents lunge"
"rise","act","the act of changing location in an upward direction","7","the act of changing location in an upward direction"
"rise_to_power","act","the act of attaining or gaining access to a new office or right or position (especially the throne)","1"," ""Elizabeth's accession in 1558"""
"rising","act","organized opposition to authority","1"," a conflict in which one faction tries to wrest control from another"
"rising_trot","act","the rider rises from the saddle every second stride","1","the rider rises from the saddle every second stride"
"risk","act","a venture undertaken without regard to possible loss or injury","3"," ""he saw the rewards but not the risks of crime""; ""there was a danger he would do the wrong thing"""
"risk_arbitrage","act","arbitrage involving risk","1"," as in the simultaneous purchase of stock in a target company and sale of stock in its potential acquirer; if the takeover fails the arbitrageur may lose a great deal of money"
"risky_venture","act","a wild and exciting undertaking (not necessarily lawful)","1","a wild and exciting undertaking (not necessarily lawful)"
"rite","act","an established ceremony prescribed by a religion","3"," ""the rite of baptism"""
"rite_of_passage","act","a ritual performed in some cultures at times when an individual changes status (as from adolescence to adulthood)","1","a ritual performed in some cultures at times when an individual changes status (as from adolescence to adulthood)"
"ritual","act","any customary observance or practice","3","any customary observance or practice"
"ritual_dance","act","a dance that is part of a religious ritual","1","a dance that is part of a religious ritual"
"ritual_dancing","act","a dance that is part of a religious ritual","1","a dance that is part of a religious ritual"
"ritual_killing","act","the act of killing (an animal or person) in order to propitiate a deity","1","the act of killing (an animal or person) in order to propitiate a deity"
"ritualism","act","exaggerated emphasis on the importance of rites or ritualistic forms in worship","1","exaggerated emphasis on the importance of rites or ritualistic forms in worship"
"rivalry","act","the act of competing as for profit or a prize","1"," ""the teams were in fierce contention for first place"""
"road","act","a way or means to achieve something","3"," ""the road to fame"""
"road_construction","act","the construction of roads","1","the construction of roads"
"road_game","act","a game played away from home","2","a game played away from home"
"road_rage","act","violence exhibited by drivers in traffic","1","violence exhibited by drivers in traffic"
"road_show","act","a show on tour","2","a show on tour"
"roasting","act","cooking (meat) by dry heat in an oven (usually with fat added)","1"," ""the slow roasting took several hours"""
"robbery","act","larceny by threat of violence","2","larceny by threat of violence"
"robbery_conviction","act","conviction for robbery","1","conviction for robbery"
"robotic_telesurgery","act","microsurgery in which the surgeon performs surgery by manipulating the hands of a robot","1","microsurgery in which the surgeon performs surgery by manipulating the hands of a robot"
"rock","act","pitching dangerously to one side","3","pitching dangerously to one side"
"rock_climbing","act","the sport or pastime of scaling rock masses on mountain sides (especially with the help of ropes and special equipment)","1","the sport or pastime of scaling rock masses on mountain sides (especially with the help of ropes and special equipment)"
"rocket_firing","act","the launching of a rocket or missile under its own power","1","the launching of a rocket or missile under its own power"
"rocket_launching","act","the launching of a rocket or missile under its own power","1","the launching of a rocket or missile under its own power"
"Rocroi","act","a battle in the Thirty Years' War (1643)","1"," the French defeated the Spanish invaders"
"rodeo","act","an exhibition of cowboy skills","2","an exhibition of cowboy skills"
"roentgenography","act","radiography that uses X-rays to produce a roentgenogram","1","radiography that uses X-rays to produce a roentgenogram"
"roguery","act","reckless or malicious behavior that causes discomfort or annoyance in others","1","reckless or malicious behavior that causes discomfort or annoyance in others"
"roguishness","act","reckless or malicious behavior that causes discomfort or annoyance in others","1","reckless or malicious behavior that causes discomfort or annoyance in others"
"role","act","the actions and activities assigned to or required or expected of a person or group","5"," ""the function of a teacher""; ""the government must do its part""; ""play its role"""
"roleplaying","act","acting a particular role (as in psychotherapy)","2","acting a particular role (as in psychotherapy)"
"roll","act","the act of throwing dice","5","the act of throwing dice"
"roll_call","act","calling out an official list of names","1","calling out an official list of names"
"roll_in_the_hay","act","slang for sexual intercourse","1","slang for sexual intercourse"
"rollback","act","the act of forcing the enemy to withdraw","1","the act of forcing the enemy to withdraw"
"roller","act","a grounder that rolls along the infield","2","a grounder that rolls along the infield"
"roller_skating","act","skating on wheels","1","skating on wheels"
"rollerblading","act","skating using Rollerblades","1","skating using Rollerblades"
"rolling","act","the act of robbing a helpless person","1"," ""he was charged with rolling drunks in the park"""
"rollover","act","the act of changing the institution that invests your pension plan without incurring a tax penalty","1","the act of changing the institution that invests your pension plan without incurring a tax penalty"
"romanticisation","act","the act of indulging in sentiment","1","the act of indulging in sentiment"
"romanticization","act","the act of indulging in sentiment","1","the act of indulging in sentiment"
"romp","act","gay or light-hearted recreational activity for diversion or amusement","2"," ""it was all done in play""; ""their frolic in the surf threatened to become ugly"""
"roofing","act","the craft of a roofer","1","the craft of a roofer"
"rooting_reflex","act","reflex consisting of head-turning and sucking movements elicited in a normal infant by gently stroking the side of the mouth or cheek","1","reflex consisting of head-turning and sucking movements elicited in a normal infant by gently stroking the side of the mouth or cheek"
"rope-a-dope","act","a boxing tactic: pretending to be trapped against the ropes while your opponent wears himself out throwing punches","1","a boxing tactic: pretending to be trapped against the ropes while your opponent wears himself out throwing punches"
"roping","act","capturing cattle or horses with a lasso","1","capturing cattle or horses with a lasso"
"Rorschach","act","a projective tests using bilaterally symmetrical inkblots","1"," subjects state what they see in the inkblot"
"Rorschach_test","act","a projective tests using bilaterally symmetrical inkblots","1"," subjects state what they see in the inkblot"
"Rossbach","act","a battle in the Seven Years' War (1757)","1"," Prussian forces under Frederick the Great defeated the armies of France and Austria"
"rotary_motion","act","the act of rotating as if on an axis","1"," ""the rotation of the dancer kept time with the music"""
"rotation","act","the act of rotating as if on an axis","2"," ""the rotation of the dancer kept time with the music"""
"rotational_nystagmus","act","nystagmus caused by the body rotating rapidly","1"," large slow movements of the eyeballs are in the direction of rotation"
"rotogravure","act","using photography to produce a plate for printing","1","using photography to produce a plate for printing"
"rouge_et_noir","act","a card game in which two rows of cards are dealt and players can bet on the color of the cards or on which row will have a count nearer some number","1","a card game in which two rows of cards are dealt and players can bet on the color of the cards or on which row will have a count nearer some number"
"rough-and-tumble","act","disorderly fighting","1","disorderly fighting"
"roughness","act","harsh or severe speech or behavior","4"," ""men associate the roughness of nonstandard working-class speech with masculinity""; ""the roughness of her voice was a signal to keep quiet"""
"roulette","act","a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in","1","a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in"
"round","act","(often plural) a series of professional calls (usually in a set order)","7"," ""the doctor goes on his rounds first thing every morning""; ""the postman's rounds""; ""we enjoyed our round of the local bars"""
"round-the-clock_patrol","act","a continuous nonstop patrol","1","a continuous nonstop patrol"
"round_dance","act","a folk dance","1"," dancers form a circle"
"round_dancing","act","a ballroom dance characterized by revolving movement","1","a ballroom dance characterized by revolving movement"
"round_of_golf","act","the activity of playing 18 holes of golf","1"," ""a round of golf takes about 4 hours"""
"round_trip","act","a trip to some place and back again","1","a trip to some place and back again"
"rounders","act","an English ball game similar to baseball","1","an English ball game similar to baseball"
"roundhouse","act","a hook delivered with an exaggerated swing","3","a hook delivered with an exaggerated swing"
"rounding","act","(mathematics) a miscalculation that results from rounding off numbers to a convenient number of decimals","1"," ""the error in the calculation was attributable to rounding""; ""taxes are rounded off to the nearest dollar but the rounding error is surprisingly small"""
"rounding_error","act","(mathematics) a miscalculation that results from rounding off numbers to a convenient number of decimals","1"," ""the error in the calculation was attributable to rounding""; ""taxes are rounded off to the nearest dollar but the rounding error is surprisingly small"""
"roundup","act","the activity of gathering livestock together so that they can be counted or branded or sold","2","the activity of gathering livestock together so that they can be counted or branded or sold"
"rousing","act","the act of arousing","1"," ""the purpose of art is the arousal of emotions"""
"routemarch","act","a long training march for troops","1","a long training march for troops"
"routine","act","an unvarying or habitual method or procedure","4","an unvarying or habitual method or procedure"
"roving","act","travelling about without any clear destination","1"," ""she followed him in his wanderings and looked after him"""
"row","act","the act of rowing as a sport","5","the act of rowing as a sport"
"rowing","act","the act of rowing as a sport","1","the act of rowing as a sport"
"royal_casino","act","a form of casino in which face cards have extra point values","1","a form of casino in which face cards have extra point values"
"Royal_National_Eisteddfod","act","an eisteddfod with competitions in music and drama and poetry and the fine arts","1","an eisteddfod with competitions in music and drama and poetry and the fine arts"
"royal_road","act","an auspicious way or means to achieve something","1"," ""the royal road to success"""
"royal_tennis","act","an ancient form of tennis played in a four-walled court","1","an ancient form of tennis played in a four-walled court"
"royalism","act","adherence or attachment to a monarchy or to the principle of monarchal government","1","adherence or attachment to a monarchy or to the principle of monarchal government"
"rub","act","the act of rubbing or wiping","1"," ""he gave the hood a quick rub"""
"rub_up","act","a review that refreshes your memory","1"," ""I need a rub up on my Latin"""
"rubber-necking","act","going about to look at places of interest","1","going about to look at places of interest"
"rubber_stamp","act","routine authorization of an action without questions","1","routine authorization of an action without questions"
"rubbing","act","effort expended in moving one object over another with pressure","1","effort expended in moving one object over another with pressure"
"rubdown","act","the act of rubbing down, usually for relaxation or medicinal purposes","1","the act of rubbing down, usually for relaxation or medicinal purposes"
"rubidium-strontium_dating","act","geological dating based on the proportions of radioactive rubidium into its decay product strontium","1"," radioactive rubidium has a half-life of 47,000,000,000 years"
"ruckus","act","the act of making a noisy disturbance","1","the act of making a noisy disturbance"
"ruction","act","the act of making a noisy disturbance","1","the act of making a noisy disturbance"
"ruff","act","(card games) the act of taking a trick with a trump when unable to follow suit","1","(card games) the act of taking a trick with a trump when unable to follow suit"
"ruffianism","act","violent lawless behavior","1","violent lawless behavior"
"ruffle","act","a noisy fight","1","a noisy fight"
"rugby","act","a form of football played with an oval ball","1","a form of football played with an oval ball"
"rugby_football","act","a form of football played with an oval ball","1","a form of football played with an oval ball"
"ruggedisation","act","the act of making a piece of equipment rugged (strengthening to resist wear or abuse)","1","the act of making a piece of equipment rugged (strengthening to resist wear or abuse)"
"ruggedization","act","the act of making a piece of equipment rugged (strengthening to resist wear or abuse)","1","the act of making a piece of equipment rugged (strengthening to resist wear or abuse)"
"rugger","act","a form of football played with an oval ball","1","a form of football played with an oval ball"
"ruin","act","destruction achieved by causing something to be wrecked or ruined","3","destruction achieved by causing something to be wrecked or ruined"
"ruination","act","destruction achieved by causing something to be wrecked or ruined","1","destruction achieved by causing something to be wrecked or ruined"
"ruining","act","destruction achieved by causing something to be wrecked or ruined","1","destruction achieved by causing something to be wrecked or ruined"
"rulership","act","the position of ruler","1","the position of ruler"
"ruling","act","the reason for a court's judgment (as opposed to the decision itself)","2","the reason for a court's judgment (as opposed to the decision itself)"
"rum","act","a card game based on collecting sets and sequences","1"," the winner is the first to meld all their cards"
"rumba","act","a folk dance in duple time that originated in Cuba with Spanish and African elements","1"," features complex footwork and violent movement"
"rumble","act","a fight between rival gangs of adolescents","2","a fight between rival gangs of adolescents"
"rumination","act","(of ruminants) chewing (the cud)","1"," ""ruminants have remarkable powers of rumination"""
"rummage","act","a thorough search for something (often causing disorder or confusion)","1"," ""he gave the attic a good rummage but couldn't find his skis"""
"rummage_sale","act","a sale of donated articles","1","a sale of donated articles"
"rummy","act","a card game based on collecting sets and sequences","1"," the winner is the first to meld all their cards"
"rumpus","act","the act of making a noisy disturbance","2","the act of making a noisy disturbance"
"run","act","a score in baseball made by a runner touching all four bases safely","8"," ""the Yankees scored 3 runs in the bottom of the 9th""; ""their first tally came in the 3rd inning"""
"run-through","act","an uninterrupted rehearsal","1","an uninterrupted rehearsal"
"run-up","act","the approach run during which an athlete gathers speed","1","the approach run during which an athlete gathers speed"
"run_batted_in","act","a run that is the result of the batter's performance","2"," ""he had more than 100 rbi last season"""
"running","act","(American football) a play in which a player attempts to carry the ball through or past the opposing team","3"," ""the defensive line braced to stop the run""; ""the coach put great emphasis on running"""
"running_away","act","the act of leaving (without permission) the place you are expected to be","1","the act of leaving (without permission) the place you are expected to be"
"running_game","act","(American football) a play in which a player attempts to carry the ball through or past the opposing team","1"," ""the defensive line braced to stop the run""; ""the coach put great emphasis on running"""
"running_play","act","(American football) a play in which a player attempts to carry the ball through or past the opposing team","1"," ""the defensive line braced to stop the run""; ""the coach put great emphasis on running"""
"runoff","act","a final election to resolve an earlier election that did not produce a winner","2","a final election to resolve an earlier election that did not produce a winner"
