FrameNet frame,Definition
Complaining,"A Complainer communicates their negative emotional reaction to some state of affairs in a Complaint to an Addressee. As an alternative to the specific Complaint, the Topic of the speaker's Complaint m..."
Completeness,"A Whole, an entity with a substructure, is assessed for whether or not it has all the necessary parts that are defined for it or for an entity of its kind. The entity can be a concrete physical thing,..."
Compliance,This frame concerns Acts and State_of_Affairs for which Protagonists are responsible and which either follow or violate some set of rules or Norms. '' 'A lot of people suspect that blocking savers' ac...
Concessive,"A speaker marks a Conceded_state_of_affairs as being or implying a contradiction to the Main_assertion. Some LUs specify the Main_assertion, others the Conceded_state_of_affairs, as referring to the p..."
Condition_symptom_relation,"A Patient has a Medical_condition that can be understood by its Symptoms. This frame has been constructed to list all the ways to speak of relating a Patient, a Medical_condition, and Symptoms, includ..."
Conditional_occurrence,"A Consequence is presented as occurring if the Profiled_possibility occurs. See Conditional_scenario for further information. 'If you take too long , the train will leave without you .'"
Conduct,An Agent acts in a certain Manner either generally or under some particular Circumstances. The conduct may also be directed specifically towards an Affected_party. ' He pledges to conduct himself with...
Conferring_benefit,"A Benefactor confers a Beneficial_situation to a Beneficiary. Unlike in Commerce_scenario, the recipient is not necessarily required to pay for the good or service that they receive. Therefore, the el..."
Confronting_problem,An Agent becomes involved in an Issue which has negative consequences for them. The Agent will normally respond to resolve the Issue. 'I confronted both issues.'
Connecting_architecture,An entity is integrated into a building as a Part of a (possibly unexpressed) Whole which may refer to the whole building or merely to a sub-part of the building. The Part itself connects locations wi...
Connectors,The Connector is an artifact created to affix a Connected_item or to bind onto a Fixed_location and is primarily so used. A more specific Use may also be specified. Certain words in this frame (e.g. b...
Conquering,This frame describes a Theme losing its autonomy and perhaps sustaining material damage as the result of a successful invasion on the behalf of a Conqueror. 'The Spaniards conquered the Incas with bot...
Contacting,"A Communicator (whose Location may be indicated) directs a Communication to an Addressee at a particular Address. Note that no actual successful communicative act is implied, only the successful compl..."
Containers,"This frame covers entities which are prototypically conceived of and created to fulfill the function of containing--i.e. Containers that contain objects or substances, the Contents. This can be expres..."
Containing,In this frame a Container holds within its physical boundaries the Contents. 'The box holds three hundred pictures.'
Contingency,"The answer to one open question, the Outcome, is dictated (partially or completely) by the answer to another open question, the Determinant, i.e. if the answer to the Determinant is known, the answer ..."
Continued_state_of_affairs,"A State_of_affairs has held and continues to hold up to the Reference_occasion. 'To date, the Department already has numerous requests for new systems to be developed.' 'SAGE has no activities planned..."
Contrary_circumstances,An Event takes place despite the existence of an Adversity that would otherwise support Contrary_circumstances or results. '' 'He finished the race despite his ankle breaking.'
Contrition,"An Experiencer feels bad about a choice, an Action, or a failure to do something, which they now consider to have been a mistake or wrong. The emotional state of the Experiencer may be showing in gest..."
Control,"A Controlling_entity, Controlling_situation, or Controlling_variable control a Dependent_entity, Dependent_situation, or Dependent_variable. The latter, dependent, element or some aspect of it is not ..."
Controller_object,"This frame contains items which, when manipulated, alter the function of some device, internal or external. 'This button makes the radio turn on.'"
Convey_importance,"Through a Message, a Speaker (sometimes encoded metonymically by a Medium) communicates the relative importance of the state of affairs denoted by the Message. 'Reid emphasized that he and Dean meet e..."
Convoy,A Convoy consists of several Vehicles which move together to transport Cargo from a Source to a Goal. 'A convoy of several dozen vehicles was stopped at the border for several hours while border guard...
Cooking_creation,This frame describes food and meal preparation. A Cook creates a Produced_food from (raw) Ingredients. The Heating_Instrument and/or the Container may also be specified. 'Caitlin baked some cookies fr...
Corporal_punishment,Blend of Rewards_and_punishments and Bodily_injury in which the Agent performs some action intended to cause Bodily harm to the Evaluee as a consequence of some action or belief of the Evaluee (the Re...
Correctness,A particular piece of Information is evaluated for its accuracy. The Degree of correctness may also be expressed. The Source of information may also metonymically stand in for the Information. 'Is you...
Corroding,"In this frame the Patient, an inorganic item, undergoes a chemical process which renders it less useful, desirable or stable. '' ' The bike rusted. ''The metal corroded into a mass of slime.' 'The bik..."
Corroding_caused,"In this frame, the Patient, an inorganic item, undergoes a chemical process caused by another entity, which renders it less useful, desirable or stable. The process may or may not be under the control..."
Cotheme,This frame contains words that necessarily indicate the motion of two distinct objects. The Theme is typically animate and is expressed the same way a Self-mover is expressed in the Self-motion frame-...
Counterattack,"An Assailant physically attacks a Victim (which is usually but not always sentient), causing or intending to cause the Victim physical damage. The attack is a response to an earlier attack by the Vict..."
Court_examination,A Questioner asks a Witness (or defendant) questions in the context of a court procedure. 'We 'd like to cross-examine the witness if we can.'
Craft,"A particular Activity, performed conventionally or habitually by more than one Practitioner within a Culture, is described in terms of its method. 'One lived-in cabin also had a grassy roof, as if the..."
Create_physical_artwork,A Creator creates an artifact that is typically an iconic Representation of an actual or imagined entity or event. The Representation may also be evocative of an idea while not based on resemblance. '...
Create_representation,"A Creator produces a physical object which is to serve as a Representation of an actual or imagined entity or event, the Represented. 'Epstein saw the machine-man and carved him in shiny metal.' 'Pica..."
Creating,A Cause leads to the formation of a Created_entity. 'Dr. Frankenstein created a monster.'
Criminal_investigation,"This frame describes the process that involves the inquiry and determination by an authority, the Investigator, of the circumstances surrounding an Incident perpetrated by a Suspect. 'The police are i..."
Cure,"This frame deals with a Healer treating and curing an Affliction (the injuries, disease, or pain) of the Patient, sometimes also mentioning the use of a particular Treatment or Medication. This frame ..."
Custom,A Behavior is classified as entrenched for a Protagonist or a Society. The Behavior may be associated with a particular Domain of experience and described with a Descriptor. This indicates that the Be...
Cutting,"An Agent cuts a Item into Pieces using an Instrument (which may or may not be expressed). 'At the ceremony, the CEO cut the red ribbon hanging across the main entrance into a glorious confetti.'"
Damaging,"An Agent affects a Patient in such a way that the Patient (or some Subregion of the Patient) ends up in a non-canonical state. Often this non-canonical state is undesirable, and some lexical units (ma..."
Daring,An Agent performs some Action which is considered imprudent. This frame is distinct from Attempt in that the danger that the Agent puts themselves in by performing the Action is profiled. The danger i...
Dead_or_alive,"A Protagonist is in the dynamic, maintained state of being alive or has exited this state. 'Frank's dead body was apalling.'"
Death,"The words in this frame describe the death of a Protagonist. A Cause of death may also be expressed obliquely. '' 'The machine was not switched off, but Mr. Lavelle died of natural causes, police said..."
Deception_success,A Deceiver successfully causes a Victim to end up with incorrect beliefs about a Topic. The Victim comes to these beliefs from perceiving a Deception.
Deciding,"A Cognizer makes a Decision, which may be about an entity or a course of action. How (and whether) this frame is distinct from Choosing is currently up for debate. 'Mo decided to quit the program.'"
Defending,"A Defender responds to an Assailant's attack on a Victim by directly, and usually violently, countering it. 'Samantha stalwartly defended the gateway from the wraiths, crouching low over Stephen's pro..."
Degree,LUs in this frame modify a gradable attribute and describe intensities at the extreme positions on a scale. 'She is very brave.' 'It is that simple!' 'The feuds are so vicious because the stakes are s...
Degree_of_processing,"A Material has been processed (generally industrially) to some Degree in order to make it more useful for some (usually implicit) function. In some cases, an Alterant is used to process the Material. ..."
Delimitation_of_diversity,"An Item which encompasses characteristics or types whose diversity is indicated by adducing a Limit1 and a Limit2 which differ considerably from each other. In some cases, the Limit2 and Limit1 are co..."
Delivery,"A Deliverer hands off a Theme to a Recipient or (more indirectly) a Goal location, which is accessible to the Recipient. 'The staff of Ebags delivered the umbrella well ahead of schedule.' 'In each cl..."
Deny_or_grant_permission,"In this frame, an Authority allows a Protagonist to know (in some way) that they may or may not engage in an Action. For lexical units of this frame marked with the semantic type ""Negative"", e.g., aut..."
Departing,"An object (the Theme) moves away from a Source. The Source may be expressed or it may be understood from context, but its existence is always implied by the departing word itself. 'The plane leaves at..."
Deserving,"The existence of a State_of_affairs is sufficient reason for taking an Action . The agent who is justified in taking the suggested Action is not part of the immediate scene, however. 'The underwater s..."
Desirability,"This frame concerns an Evaluee being judged for its quality, i.e. how much it would probably be liked. In many cases, the Evaluee is implicitly judged good or bad relative to other instances of its ty..."
Desirable_event,A particular State_of_affairs is desirable. The State_of_affairs may be required to achieve a Purpose. A set of Circumstances may be specified under which the assessment of desirability holds. 'You sh...
Desiring,"An Experiencer desires that an Event occur. (Note that commonly a resultant state of the Event will stand in for the Event.) In some cases, the Experiencer is an active participant in the Event, and i..."
Destiny,An State_of_affairs will come to hold with respect to a Protagonist at some future time. The Protagonist is not conceived of as having control over whether the State_of_affairs will hold: obscurely re...
Destroying,"A Destroyer (a conscious entity) or Cause (an event, or an entity involved in such an event) affects the Patient negatively so that the Patient no longer exists. 'An asteroid obliterated the dinosaurs..."
Detaching,The Detaching frame covers two situations: a scene in which somebody causes one thing to be physically detached from something else; or a scene in which somebody causes two things to be disconnected f...
Detaining,The Authorities hold a Suspect under suspicion of having committed a crime (Charges). The Holding_location and period of detention (Duration) may also be specified. 'The police held Mr. Smith in the s...
Detonate_explosive,An Agent causes an Explosive device to explode. 'Who detonated that bomb?'
Differentiation,"Words in this frame have to do with a Cognizer being aware (or not being aware) of the difference between two Phenomena, which may be expressed jointly or disjointly. 'It is very difficult for people ..."
Difficulty,"An Experiencer has an easy or difficult time carrying out an Activity. The ease or difficulty associated with the Activity seems to often be associated with a prominent participant. However, we consid..."
Dimension,"This frame concerns words that express an Object's position on a scale, its Measurement, with respect to some attribute, its Dimension. Location, identifying the sub-region of the Object where the Dim..."
Direction,"This frame covers the basic uses of direction words like the adverbs east, up, and forward. These are used either to talk about a direction of facing (e.g., facing outward, pointing left, looking down..."
Directional_locative_relation,"A Figure is located relative to a (presumably more easily located) Ground, asserting that the Figure lies (approximately) on line from the Ground whose direction is established by semantic types of th..."
Discussion,"Two (or more) people (the Interlocutors, also encodable as Interlocutor_1 and Interlocutor_2) talk to one another. No person is construed as only a speaker or only an addressee. Rather, it is understo..."
Disembarking,"A Traveller leaves from or dismounts a Vehicle. 'The passengers disembarked in Southampton.' 'They then informed the passengers that, if the aircraft were to leave the runway, they would likely be dep..."
Disgraceful_situation,An implicit cognizer judges that a particular State_of_affairs for which a Protagonist is responsible is socially unacceptable. 'He called it a disgraceful situation. INI' 'To my mind it was undoubted...
Dispersal,"An Agent or a Cause disperses or scatters Individuals from the Source,a relatively confined space, to a the Goal_area, a broader space. 'She scattered his ashes in the bay.'"
Distant_operated_IED,"A improvised explosive device, the Bomb, is rigged to detonate when it receives a signal, typically by a wire that leads to a trigger. The trigger may be operated directly by the Detonator, in which c..."
Distinctiveness,A Feature of an Entity serves to distinguish the Entity from other members of its type which have a different value for the Feature. Note that the Entity is often implicit. 'His distinctive flowing ga...
Distributed_position,"This frame involves a static (primarily spatial) relationship between a Location and a Theme, in which the Theme is located in many or all subregions of the Location, and is thus construable as coveri..."
Diversity,A Group is described as having members which are similar or dissimilar to each other. The Degree of similarity may also be expressed. Some of the nouns in this frame are transparent (e.g. range.n) whe...
Documents,Words in the frame refer to any Document that has a legal status or conventional social significance. Some Documents empower the Bearer of the Document to execute the Right. Others indicate the Obliga...
Dodging,"A Dodger acts to avoid an oncoming moving Bad_entity. 'Mo dodged the flower pot that Larry threw in disgust.' The motion is relative, since the Dodger may be moving. 'Jogging through the dense woods, ..."
Domain,A Predicate is said to apply in a particular Domain. The understanding of the relation between Domain and Predicate depends on the nature of the Predicate. When the Predicate is a complete proposition...
Dominate_competitor,"An Agent, by virtue of strength or forcefulness, controls, rules, or strongly influences some Patient in some Situation. 'The fireballing righthander looked poised to dominate the Yankees yet again, s..."
Dominate_situation,"An Agent acts so as to be the strongest force, or most important causal factor in some Situation, to the exclusion of other competing actors. 'York dominated the game as they held the ball on offense ..."
Dough_rising,"The LUs of this frame describe a lump of Dough expanding as gas develops inside it. This is part of a process where, in order to produce a lighter, more easily chewed bread, Dough is leavened with yea..."
Downing,"An Agent disables a flying or floating Patient, causing it to be unable to support itself in its current medium. 'It's rumored that she downed a helicopter with a precisely fired arrow.'"
Dressing,"A Wearer puts on an item of Clothing, which then occupies the Body_location. 'You didn't have to dress like a pirate to impress me. INI' 'He put on his thickest pair of gloves and then went back out t..."
Drop_in_on,"A Visitor arrives at the Host_location as a guest of the Host, for the purpose of achieving a Purpose. The Purpose is often social in nature, i.e., the visit itself constitutes a goal. 'I'm gonna drop..."
Dunking,"An Agent temporarily places a Theme into a Substance, often with the intention to remove it later. The Substance may be metonymically represented by its container. The Theme may be partially or comple..."
Duplication,"This frame involves a Creator making a duplicate, the Copy, of some Original entity. A Source, the location of the Original, and Goal, the location of the Copy, may be expressed. 'The teacher copied t..."
Duration_description,"An event or state (here termed an Eventuality) or time-Period is described in terms of the Degree to which its duration diverges from a standard. As is usual for gradable attributes, the standard of c..."
Duration_relation,"A Period or Eventuality is related to its Duration. Alternatively, an Entity may stand in metonymically for an Eventuality that it is involved in. 'You wouldn't last five minutes!'"
Dying,A Protagonist is near or approaching death. 'But a dying patient is still a living patient.'
Dynamism,"A physical Exerter, Action, or Force exerts energy at a level specified by the target. This frame covers both individual-level/static uses (""an INTENSE person"") as well as stage-level/dynamic uses (""a..."
Earnings_and_losses,"An Earner receives Earnings by providing Goods to a Buyer; providing the Goods also generally entails a cost, which may or may not be included in the consideration. This frame emphasizes the effect on..."
Eclipse,An Obstruction blocks an Eclipsed entity partially or completely from view. The positions of the Obstruction and the Eclipsed entity are often reported relative to a Vantage_point. 'A small green bulb...
Economy,"A Political_region, often a nation, has an economic system, theEconomy, defined by the level of production and consumption of goods and services. The Market_type or Domain may be specified. 'The Canad..."
Education_teaching,This frame contains words referring to teaching and the participants in teaching. A Student comes to learn either about a Subject; a Skill; a Precept; or a Fact as a result of instruction by a Teacher...
Electricity,"Lexical units in this frame refer to Electricity, in particular as a form of energy harnessed for particular uses (such as powering machines). The Source of the Electricity may also be expressed, or i..."
Elusive_goal,"An Experiencer does not achieve a Desired_goal. Typically, the Experiencer is the object of the verb. Metaphorically, a pursued entity is not captured. 'Success eludes me.' 'His point escaped the enti..."
Emanating,In this frame an Emission emanates from a Source along a Path or to a Goal. 'The light emanates from the tower.' ' The uranium particles radiate from the nuclear plant . '
Emergency,"This frame characterizes the situation or state of affairs in which someone should or must act to prevent a Undesirable_event from occurring. Often, an Entity affected by the Undesirable_event is more..."
Emergency_fire,A fire which burns and requires an emergency-type response.
Emitting,In this frame a Source_emitter discharges its Emission along a Path or to a Goal. ' (1) The factory exudes toxic fumes from three large chimneys.' The Sub-source is only present when the actual Source...
Emotion_active,"This frame has similarities to Experiencer_subject, but here the verbs are more 'active' in meaning. (For example, they often occur in negative imperatives, e.g. ""Don't worry!''). They also differ fro..."
Emotion_directed,The adjectives and nouns in this frame describe an Experiencer who is feeling or experiencing a particular emotional response to a Stimulus or about a Topic. There can also be a Circumstances under wh...
Emotion_heat,"This frame contains verbs that describe emotional experiences and participate in the locative alternation, as in the following examples: '' ' I was boiling with anger.' 'Anger was boiling inside me.' ..."
Emotions_by_stimulus,"An Experiencer, Expressor, Event, or State has an emotion as brought on by an Stimulus or Topic. 'The joyful reunion took place on Sunday.' 'The Polish-born Pope was driven past jubilant crowds.' 'I a..."
Emotions_of_mental_activity,An Experiencer can be described as having an emotion as induced by a Stimulus. 'The children enjoyed noise games and sing-songs.' 'The pleasures of eating are fleeting.' 'Diners delight in counter cul...
Emotions_success_or_failure,"A Topic or Stimulus fails or succeeds at causing an emotion in an Experiencer, which is conveyed by an Expressor or manifested in a State or description of an Event. 'They were dissatisfied with the a..."
Emphasizing,"An Agent who is engaged in an Undertaking accords a Degree of importance to a Consideration that influences the success of an Undertaking. As a consequence, the Agent acts in a way that reflects that ..."
Employing,An Employer employs an Employee whose Position entails that the Employee perform certain Tasks in exchange for Compensation. 'I employed him as Chief Gardener for ten years.'
Emptying,"These are words relating to emptying containers and clearing areas of some substance or items. The area or container can appear as the direct object with all these verbs, and is designated Source beca..."
Encoding,"A person (Speaker) expresses a Message or mental content, broadly understood, in a particular Manner. The content may be emotional, as in 'Humans express feelings through words' intellectual, as in 'F..."
Encounter,"This frame describes Individuals who unintentionally come together to form a Group. Alternatively, a grammatically more prominent Party_1 meets by chance a Party_2, expressed as an oblique phrase. '' ..."
Endangering,"An Agent or Cause is responsible for placing a Valued_entity at risk. Endangering_act, Place, Time, Reason, and Circumstance may also be specified. 'His actions have imperiled his immortal soul!' 'I a..."
Endeavor_failure,"Some individual or group ceases to be able to sustain an Endeavor (a long-term activity involving economic interaction with the public, often a business venture). Unlike Business_failure and Locale_cl..."
Enforcing,An Agent acts to ensure that a Rule (often a constraint on behavior) is being followed. The Agent's action is according to a general plan for Rules (such that implicit in the Rule is the affordance to...
Entering_of_plea,"The Accused enters a Plea in answer to the Charges. In most jurisdictions, the possible pleas are innocent, guilty, or nolo contendere. Accused persons may stand mute, in which case, the court usually..."
Entity,This frame is for words that denote highly schematic entities. 'We found an unusual wooden object in the desert.'
Entourage,"A group of Individuals form a group, the Entourage, which remains co-located with the Attended_person. The Entourage may have a specific Purpose for following the Attended_person, such as to protect o..."
Erasing,An Agent or Cause removes a piece of Information from a Document such that it cannot be retrieved. 'I deleted the last line from my essay.'
Escaping,A Self-moving Escapee departs from an Undesirable_location. 'Benjamin escaped from Germany.'
Estimated_value,A Cognizer has carried out an approximate calculation or considered some Evidence and produced an approximation of the Value of a feature of an Item. There are two alternative construals in which the ...
Estimating,"A Cognizer carries out an approximate calculation or considers some Evidence so as to arrive at an approximate Value for some Feature of an Item. There are two alternative construals. In one, the Feat..."
Evading,"An Evader moves under its own power to thereby avoid Capture or contact with a Pursuer, also generally moving under its own power. This frame characterizes a more specific event than Avoiding in that ..."
Evaluative_comparison,"This frame is about the static comparison of an Profiled_item to a Standard_item, often with respect to some Attribute. In this frame, there is an inherent asymmetry between Profiled_item and Standard..."
Event,An Event takes place at a Place and Time. 'Big earthquakes only happen along plate boundaries. INI ' 'The party will take place on Sunday in the all-you-can-eat buffet.'
Event_instance,This frame describes a particular instance of an event. 'These next two days will be the last two times that I'm here.'
Eventive_affecting,An Entity undergoes some change (the Event) that is (or is construed as) punctual. (This frame exists mainly to allow common FEs to be inherited.) 'This happens to me all the time.' 'The area was stru...
Eventive_cognizer_affecting,"An Event causes the Cognizer to accept some Content. Although the Cognizer forms an intention, it is not entailed that he/she acts. 'The divorce convinced him to get help.' 'The price of a factory rec..."
Evidence,"The Support, a phenomenon or fact, lends support to a claim or proposed course of action, the Proposition, where the Domain_of_relevance may also be expressed. Some of the words in this frame (e.g. ar..."
Evoking,Some Stimulus causes a Cognizer to think of a prior Phenomenon due to its perceived similarity. 'I burned down the malt shop where we used to go just because it reminds me of you'
Examination,This frame deals with testing or examination of someone's Knowledge or skill in a particular area. An Examiner conducts an Examination to an Examinee to determine the Examinee's Knowledge and/or deter...
Exchange,"Two parties, the Exchangers, each give and receive from the other Themes. The parties are also construable separately as Exchanger_1 and Exchanger_2, in which case the Themes may be construed separate..."
Exchange_currency,"A Money_owner exchanges Sum_1 in the Source_currency for Sum_2 in the Target_currency at some Exchange_service. 'After checking into the Intourist-operated $30-a-day Hotel Zerafshon, we each exchanged..."
Exclude_member,"A former Member of a Group ceases to be a member as a result of the action of an Authority within the Group. (In directly democratic Groups, the Authority may consist of the Group itself as a voting w..."
Excreting,An Excreter excretes Excreta. 'Principal Skinner burped on me.' 'Lenny and Karl pee three times a day.'
Execute_plan,"An Agent acts according to a Plan , carrying it out (or taking steps to carry it out). In some cases, the Agent is a focal participant in the Plan, although a separate Focal_participant may also be me..."
Execution,An Executioner punishes an individual (Executed) with death as a consequence of some action of the Evaluee (the Reason). 'The hooded man hanged the thief.'
Exemplar,This frame concerns a specific subset of Instances of a Type which are evaluated in terms of their similarity to a conceptual prototype of the Type. The judgment of exemplariness may be made along a c...
Exemplariness,"An Entity, with regard to a particular Domain, is representative of a conceptual prototype of the Comparison_set of which it is a member. 'Virginia Woolf is a prototypical Modernist author.'"
Exercising,"An Agent actively maintains or improves their level of phyiscal fitness. The action may target a specific Body_part, or happen through a particular Means. 'Football players exercise every day.' 'Don't..."
Existence,"An Entity is declared to exist, generally irrespective of its position or even the possibility of its position being specified. Time, Duration, Inherent_purpose, and State may also be mentioned. This ..."
Expansion,"An Item changes its physical size. The Size_change of an Item may be explicitly indicated or characterized in terms of Initial_size and/or Result_size. In the default case, expansion is along all dime..."
Expectation,Words in this frame have to do with a Cognizer believing that some Phenomenon will take place in the future. Some words in the frame (e.g. foresee.v) indicate that the Phenomenon is asserted also to b...
Expected_location_of_person,A Person usually resides or works in a Location. 'Is Mr. Adams in today? DNI'
Expend_resource,An Agent uses a Resource which is consumed and unavailable for future use. 'We exhausted our supply of oil long ago.'
Expensiveness,A Payer gives up (or potentially gives up) the use of an Asset (generally money) in order to achieve an Intended_event. This event is often more specifically described as gaining possession of some Go...
Experience_bodily_harm,"An Experiencer is involved in a bodily injury to a Body_part. (In some cases, no Body_part need be indicated.) Often an Injuring_entity on which the Experiencer injures themselves is mentioned. 'I thi..."
Experiencer_focus,"The words in this frame describe an Experiencer's emotions with respect to some Content. A Reason for the emotion may also be expressed. Although the Content may refer to an actual, current state of a..."
Experiencer_obj,Some phenomenon (the Stimulus) provokes a particular emotion in an Experiencer. 'Nightmare on Elm Street scared me silly.'
Experimentation,An Experimenter conducts an Experiment based on a Hypothesis. This Experiment contains a Control_group or Control_group_member which is compared with a Treatment_group or Treated_individual in order t...
Expertise,"This frame concerns people's knowledge or skill in certain domains. It does not concern acquaintance or familiarity with people. With adjectives as targets in this frame, we annotate on two FE layers...."
Explaining_the_facts,"A Question about the reason or cause of a known State_of_affairs is presented as being answered by the existence of a particular Fact. The exact chain of reasoning, including the answer itself, of whi..."
Explosion,"Due to chemical, nuclear, or other reactions, an Explosive explodes, potentially causing damage to the surrounding area. The Explosive is often, but need not be, a weapon. 'The bomb exploded in the mi..."
Exporting,An Exporter moves Goods across a border from an Exporting_area to an Importing_area. 'Several companies actually make most of their income by exporting goods out of the country.' 'Exportation into nat...
Expressing_publicly,A Communicator publically communicates some difficult-to-express Content which they (or a social group of which they are a member) have had for some time. The Content may not have been previously comm...
Extradition,"A Suspect in a Current_jurisdiction is forced by Authorities (of the Current_jurisdiction) to go to the Crime_jurisdiction, i.e. the jurisdiction which requested that the Suspect be handed over for tr..."
Extreme_point,"An Entity that has characteristics which change over time is at a point or in a phase of its development in which, compared to other actual or expected stages of development, it possesses extremely hi..."
Extreme_value,An Entity possesses a Value for a certain Attribute which is extreme when compared to the values either of other entities or to values of the same Entity at other points of time. 'Airfares hit a 10-ye...
Facial_expression,The words in this frame refer to facial Expressions and the Possessors of those Expressions. 'His lackluster smile revealed his disappointment.'
Fairness_evaluation,"In this frame an Action is evaluated with respect to how fairly, justly or equitably the Action affects the Affected_party. An Actor may also be identified, who performs the Action and may be characte..."
Fall_asleep,A Sleeper goes from wakefulness to an altered state of consciousness where they are largely unaware of their environment. The LUs of this frame are differentiated by how quickly and deeply the state i...
Fall_for,"A Victim comes to have incorrect beliefs as a result of exposure to a Deception. The Deception is necessarily orchestrated by one or more agents, though these are not expressible by the LUs in this fr..."
Fame,"An Entity is well-known among a wide range of people (in general or in a particular domain) for a particular Reason, which may be a behavior, characteristic, or some other associated item. In the case..."
Familiarity,"An Entity is presented as having been seen or experienced by a (typically generic and backgrounded) Cognizer on a certain number of occasions, causing the Entity to have a certain degree of recognizab..."
Fastener,"The Fastener is an artifact created to close a Container (e.g. coat, jar). Sometimes, the Container_portal rather than the Container is expressed. 'The door seal prevented air from getting in and the ..."
Fear,"An Experiencer, Expressor, or State can be described as characterized as having an emotion of fear concerning a particular Topic or as evoked by a Stimulus. 'I was scared by a bump in the night.'"
Feeling,In this frame an Experiencer experiences an Emotion or is in an Emotional_state. There can also be an Evaluation of the internal experiential state. 'John feels anger towards his mother.' 'Martha feel...
Feigning,An Agent acts in such a way as to give the incorrect impression to observers that a particular State_of_affairs holds. 'Jordan feigned a love of jazz music to get her phone number .'
Fields,"An individual or group (Practitioner) or a part of their work life (Work) is defined professionally by the Activity that they typically engage in. Alternatively, the Activity may be indicated by a Sal..."
Fighting_activity,"A generally large group of people, the Combatants, are engaged in a chaotic, violent, and usually protracted Fight amongst themselves. There are no distinct sides, and generally no particular goal (co..."
Filling,"These are words relating to filling containers and covering areas with some thing, things or substance, the Theme. The area or container can appear as the direct object with all these verbs, and is de..."
Fining,The Payer is (legally) forced to pay a Fine by an official Speaker as a punishment for some action (the Reason). The Speaker represents an entity which receives the payment. 'They were fined approxima...
Finish_competition,"A Competition comes to an end, with a Competitor tying, winning, or losing against an Opponent (or opponents) according to their Score. (In the symmetrical situation of a tie, the Competitor and Oppon..."
Finish_game,"A Player finishes a Game, possibly with an outcome of winning or losing. A Game is an activity that is considered recreational, and is valued for associated pleasure, as well as social interaction, ma..."
Fire_break,"This frame pertains to Fire_breaks, entities intended to prevent a fire from traveling in a direction. They are constructed by removing combustible/flammable material from the predicted path of the fl..."
Fire_burning,"A Fire burns Fuel, resulting in damage and possibly complete destruction of the Fuel. 'A fire that started on Saturday afternoon, the High Glade Fire - located on the Mendocino National Forest's Upper..."
Fire_going_out,A Fire goes out. 'The fire is expected to burn out within a week.'
Firefighting,"This frame characterizes the situation or state of affairs in which someone acts to prevent a Fire_disaster from occurring, accelerating, or affecting any area not identified as a Controlled_area. The..."
Firing,An Employer ends an employment relationship with an Employee. There is often a Reason given for the action. 'He fired me as annotator for being too slow.'
Firing_point,A location from which a Detonator activates a distantly-located explosive device. 'Locating the firing point of remote control IEDs is no easy task.' 'The first task is to determine where he located h...
First_experience,"An implicit experiencer has an Experience for the first time. Some LU's may specifically imply an agentive activity. 'In Italy the term was first used by the Venetians in 1546' 'This time, the comet w..."
First_rank,"An Item is located at the top end of a scale of importance or social rank (or some other Attribute) in comparison to other members of a Contrast_set (usually, implicit) that is otherwise similar in ki..."
Fleeing,A Self_mover responds to a (real or imagined) danger by moving away from it. 'She had fled from DCS facilities several times before..' 'Pakistanis in US trying to flee to Canada hit roadblocks.' 'Ande...
Fluidic_motion,In this frame a Fluid moves from a Source to a Goal along a Path or within an Area. ' The blood spurted from the wound. ''The water gushed into the house . '
Food,"This frame contains words referring to items of food. 'Specialties include deep fried shredded beef , duck , prawn dishes and hand-made noodles.'"
Food_gathering,A Gatherer removes Crop ripe and ready to an accepted degree. The Crop comes from a Source where it has been grown and matured. 'They harvest their pumpkins in the Autumn. INI ' 'We bring in the tobac...
Foreign_or_domestic_country,A Current_country is identified as matching or not matching the instance of the Discourse_salient_country. 'Foreign sales account for only 20% of IBM's income .'
Forging,"An Agent produces a Forgery, an entity that they intend to pass off as a particular (instance of) a Standard. An instance of the Standard may actually exist that served as an original that is copied b..."
Forgiveness,"A Judge refrains from imposing, or demanding a punishment for an Evaluee who has committed an Offense. 'God forgives repentant sinners.' 'Won't you forgive me for keeping it a secret?'"
Forgoing,AForgoer decides not to partake in something ordinary that is otherwise Desirable. 'Chuck often skips lunch.'
Forming_relationships,Partner_1 interacts with Partner_2 (also collectively expressible as Partners) to change their social relationship. 'I befriended the little pony by giving him a piece of apple.'
Freeing_from_confinement,"An Agent causes a Theme which was held captive to be free from a Location_of_confinement, against the wishes of the captors. 'Two men disguised as guards sprung a convicted killer from prison last nig..."
Frequency,This frame has to do with the repetition (and especially the frequency of repetition) of an event. Many of the adjectives and adverbs in this frame are based on nouns in the Calendric_unit frame. 'Chi...
Friction,"A Theme moves on or against the surface of a Static_object. (Alternatively, Themes moves against each other simultaneously). The Theme exerts pressure on the surface and experiences resistance to its ..."
Friendly_or_hostile,"Two parties or individuals are on the same side or on different sides of a (typically military) conflict. The two sides may be expressed jointly as the Sides, or separately as Side_1 and Side_2. 'We r..."
Front_for,"An individual or organization, the Front, serves as a cover for an Illicit_activity or an Illicit_organization. 'The laundromat is a front for the Yakuza.'"
Frugality,The words of this frame describe how a Resource_controller spends money or other Resources for a particular purpose . They can be applied to the Resource_controller or to their Behavior in particular ...
Fugitive,A Fugitive avoids recapture by or on the authority of Authorities in relation to a Crime which the Fugitive has committed or is suspected of having committed. 'He is in fact a fugitive of the law and ...
